31/10/2022 14:24:01 [127.0.0.1:52583] 304     1ms GET /vendor/jquery/jquery-3.6.0.min.js 
31/10/2022 14:24:01 [127.0.0.1:52583] 304     1ms GET /vendor/chart.js/Chart.min.js 
31/10/2022 14:24:01 [127.0.0.1:52583] 304      0s GET /js/demo/chart-area-demo.js 
31/10/2022 14:24:01 [127.0.0.1:52583] 304      0s GET /js/demo/chart-pie-demo.js 
31/10/2022 14:24:01 [127.0.0.1:52583] 304     1ms GET /js/k2.js 
31/10/2022 14:24:01 [127.0.0.1:52584] 304      0s GET /img/k2-32x32.png 
31/10/2022 14:24:01 [127.0.0.1:52584] 200      0s GET /api-datainput 
31/10/2022 14:24:01 [127.0.0.1:52584] 200     2ms GET /vendor/bootstrap/js/bootstrap.bundle.min.js.map 
31/10/2022 14:24:01 [127.0.0.1:52584] 304      0s GET /img/favicon.ico 
31/10/2022 14:24:10 [127.0.0.1:52599] 200     2ms GET / 
31/10/2022 14:24:10 [127.0.0.1:52599] 200     2ms GET / 
31/10/2022 14:25:48 [127.0.0.1:52645] 200    17ms GET / 
31/10/2022 14:25:48 [127.0.0.1:52645] 200     1ms GET /js/k2.js 
31/10/2022 14:25:48 [127.0.0.1:52645] 200      0s GET /api-datainput/ 
31/10/2022 14:26:27 [127.0.0.1:52664] 200     7ms GET / 
31/10/2022 14:26:27 [127.0.0.1:52664] 200     1ms GET /js/k2.js 
31/10/2022 14:26:28 [127.0.0.1:52664] 200      0s GET /api-datainput 
31/10/2022 14:26:48 [127.0.0.1:52676] 200     1ms GET /vendor/bootstrap/js/bootstrap.bundle.min.js.map 
31/10/2022 14:29:52 [127.0.0.1:52813] 200     7ms GET / 
31/10/2022 14:29:52 [127.0.0.1:52813] 304     1ms GET /vendor/jquery/jquery-3.6.0.min.js 
31/10/2022 14:29:52 [127.0.0.1:52814] 304      0s GET /vendor/jquery/jquery-ui.min.js 
31/10/2022 14:29:52 [127.0.0.1:52814] 200     1ms GET /js/k2.js 
31/10/2022 14:29:52 [127.0.0.1:52814] 200      0s GET /api-datainput 
31/10/2022 14:29:52 [127.0.0.1:52814] 200     1ms GET /vendor/bootstrap/js/bootstrap.bundle.min.js.map 
31/10/2022 14:30:11 [127.0.0.1:52831] 200     7ms GET / 
31/10/2022 14:30:11 [127.0.0.1:52831] 304      0s GET /js/k2.js 
31/10/2022 14:30:11 [127.0.0.1:52831] 200      0s GET /api-datainput 
